time,accX,accY,accZ,rotX,rotY,rotZ,temp1,temp2,press
232440.00,3.80,4.64,16.61,-0.02,0.04,0.00,25.90,180.48,-123.50
232490.00,3.80,4.60,16.65,-0.02,0.04,0.00,25.90,180.48,-123.50
232540.00,3.79,4.63,16.65,-0.02,0.04,0.00,25.90,180.48,-123.50
232590.00,3.80,4.62,16.64,-0.03,0.04,0.00,25.90,180.48,-123.50
232640.00,3.79,4.61,16.64,-0.02,0.04,0.00,25.91,180.48,-123.50
232690.00,3.79,4.63,16.61,-0.02,0.04,0.00,25.88,180.48,-123.50
232740.00,3.80,4.61,16.63,-0.02,0.04,0.00,25.91,180.48,-123.50
232790.00,3.79,4.63,16.64,-0.02,0.04,0.00,25.90,180.48,-123.50
232840.00,3.83,4.61,16.63,-0.02,0.04,0.00,25.90,180.48,-123.50
232890.00,3.78,4.61,16.65,-0.02,0.04,0.00,25.90,180.48,-123.50
232940.00,3.81,4.62,16.63,-0.02,0.04,0.00,25.88,180.48,-123.50
232990.00,3.79,4.62,16.62,-0.03,0.04,0.00,25.88,180.48,-123.50
233040.00,3.79,4.60,16.62,-0.03,0.04,-0.00,25.89,180.48,-123.50
233090.00,3.79,4.63,16.62,-0.02,0.04,-0.00,25.89,180.48,-123.50
233140.00,3.81,4.61,16.62,-0.02,0.04,0.00,25.87,180.48,-123.50
233190.00,3.79,4.61,16.64,-0.02,0.04,0.00,25.91,180.48,-123.50
233240.00,3.80,4.63,16.63,-0.02,0.04,-0.00,25.89,180.48,-123.50
233290.00,3.80,4.62,16.65,-0.02,0.04,0.00,25.90,180.48,-123.50
233340.00,3.78,4.61,16.62,-0.03,0.04,-0.00,25.88,180.48,-123.50
233390.00,3.81,4.63,16.63,-0.03,0.04,0.00,25.90,180.48,-123.50
233440.00,3.79,4.61,16.65,-0.03,0.04,0.00,25.90,180.48,-123.50
233490.00,3.79,4.61,16.64,-0.02,0.04,0.00,25.90,180.48,-123.50
233540.00,3.79,4.62,16.64,-0.02,0.04,0.00,25.92,180.48,-123.50
233590.00,3.80,4.62,16.65,-0.02,0.04,0.00,25.92,180.48,-123.50
233640.00,3.80,4.63,16.65,-0.03,0.04,0.00,25.90,180.48,-123.50
233690.00,3.80,4.61,16.64,-0.03,0.04,0.00,25.90,180.48,-123.50
233740.00,3.79,4.62,16.67,-0.02,0.04,0.00,25.89,180.48,-123.50
233790.00,3.80,4.62,16.63,-0.02,0.04,0.00,25.91,180.48,-123.50
233840.00,3.80,4.62,16.62,-0.02,0.04,0.00,25.89,180.48,-123.50
233890.00,3.80,4.63,16.61,-0.03,0.04,0.00,25.89,180.48,-123.50
