time,accX,accY,accZ,rotX,rotY,rotZ,temp1,temp2,press
156139.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156149.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156159.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156169.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156179.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156189.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156199.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156209.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156219.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156229.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156239.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156249.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156259.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156269.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156279.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156289.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156299.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156309.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156319.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156329.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156339.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156349.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156359.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156369.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156379.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156389.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156399.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156409.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156419.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156429.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156439.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156449.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156459.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156469.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156479.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156489.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156499.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156509.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156519.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156529.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156539.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156549.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156559.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156569.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156579.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156589.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156599.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156609.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156619.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156629.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156639.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156649.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156659.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156669.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156679.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156689.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156699.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156709.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156719.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156729.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156739.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156749.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156759.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156769.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156779.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156789.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156799.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156809.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156819.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156829.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
156839.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
